Review Date,Author Name,Comment
3/19/24,s*****7,"Quality:good
Taste:sedap

Pembelian kali ke dua. Battle yang dahsyat. Few seconds lewat memang tak dapat ler. Alhamdulillah rezeki. Rasa sedap. Tekstur daging hancur. Senang nak makan. Rasa Manis pedas limau purut balance 👍🏻"
2/20/24,harmaya,"Taste:sedappp manis pedas semua cukup rasa 10/10
Quality:overall semua ok cuma delivery xda la cepat tapi packaging semua ok. recommend kalau boleh buat zip lock so xhabis boleh simpan. tapi ni rezeki beli satu mmg habis dan tu la 🤣 next battle nak join lagi kah!"
2/21/24,ainhamizah_22,"Taste:Pedas hujung2 sikit
Quality:Baik

Done repeat beli untuk batch 2. Untuk batch 1 rasa dia manis sikit & pedas jugak sikit hujung-hujung. Batch 2 pun pedas jugak sikit dan rasa manis dah kurang sedikit."
2/19/24,s*****a,"Quality:good
Taste:good

sedap tapi as for me tak pedas lah..just nice lah rasa untuk semua golongan. pembungkusan yang baik. penghantaran yang sangat pantas. everything just good. 👍🏻👍🏻👍🏻"
2/19/24,w*****4,"Taste:Good
Quality:Bagus

Brg diterima dlm keadaan baik. Penghantaran yg sngt laju dlm msa 2 hari je dh smpai...Rezeki dpt merasa dendeng KA selain sambal nyet yg superb..Kuantiti bnyk n rsa ngamm kalau mkn dgn nasi panas2...Mmg sesuai utk bwak travel mna2 nnt...Gud job KA n team👏🏼👏🏼"
2/20/24,m*****5,"Taste:Sedap
Quality:Bagus

Sampai dendeng KA dalam masa 4 hari lepas order. Nasib baik dapat beli. Semua dalam keadaan baik. Makan begitu sedap, makan dgn nasi lagi sedap. Terima kasih"
3/20/24,yuswanti75,"Quality:terbaik
Taste:sedap

Barang diterima dengan selamat. Ini belian battle yg kedua di Shopee dendeng KA. Setiap hari mencuba battle lagi sampai dapat tanpa jemu. Rasanya sedap dan tak berapa pedas bagi saya yg tak boleh makan yg terlalu pedas. Bungkusan pun tebal walaupun 1 pek...👍👍"
3/6/24,y*****i,"Taste:Excellent
Quality:Excellent

Diterima dalam keadaan sempurna dan baik. Bungkusan yang kemas dan selamat. Penghantaran yang cepat dan pantas. 💯 very recommended this seller. Pembelian kali kedua."
3/15/24,nightfury1987,"Taste:Sedap
Quality:Daging yg berkualiti tinggi - wak you

Setelah sekian lama hunting, akhirnya berjaya juga utk mendptkn nya. Alhamdulillah... Tq KA. Will repeat order soon.. Lepas 6pack ni habis la. 😁 Penghantaran pantas. Service terbaik  dr seller."
2/29/24,l*****n,"Taste:dia sedap tapi MANIS
Quality:memang okay quality

first taste bila makan, terus kata MANIS. okay la then PEDAS dia tu hujung2 lidah je (sbb KA kata untuk senang budak2 makan kan). ok je daging hancur gitu senang terus ngap masuk mulut takyah kunyah teruk2. cumanya bagi aku tak berapa nak dendeng sgt resipinya but still acceptable. looking forward yg upgrade version and hopefully ada dua versi PEDAS BERAPI & TAK PEDAS. semoga terus maju KA 👍🏻"
